ID_ASISTENCIA,ENTRADA,SALIDA,ID_EMPLEADO
1,,,1
2,,,3
3,,,4
4,,,5
5,,,6
6,,,7
7,,,8
8,,,9
9,,,11
10,,,12
11,,,13
12,,,14
13,,,15
14,,,16
15,,,17
16,,,19
17,,,20
18,,,21
19,,,22
20,,,23
21,,,24
22,,,25
23,,,26
24,,,27
25,,,29
26,,,30
27,,,31
28,,,32
29,,,33
30,,,34
31,,,35
32,,,37
33,,,38
34,,,39
35,,,40
36,,,41
37,,,43
38,,,44
39,,,45
40,,,46
41,,,47
42,,,49
43,,,51
44,,,53
45,,,54
46,,,55
47,,,56
48,,,57
49,,,58
50,,,59
51,,,60
52,,,61
53,,,62
54,,,63
55,,,64
56,,,66
57,,,67
58,,,69
59,,,70
60,,,71
61,,,72
62,,,73
63,,,74
64,,,77
65,,,78
66,,,79
67,,,80
68,,,81
69,,,82
70,,,83
71,,,84
72,,,85
73,,,86
74,,,88
75,,,89
76,,,90
77,,,93
78,,,94
79,,,95
80,,,99
81,,,101
82,,,103
83,,,104
84,,,105
85,,,106
86,,,107
87,,,109
88,,,110
89,,,111
90,,,112
91,,,113
92,,,114
93,,,116
94,,,117
95,,,118
96,,,119
97,,,120
98,,,121
99,,,122
100,,,123
101,,,124
102,,,125
103,,,126
104,,,127
105,,,130
106,,,131
107,,,132
108,,,133
109,,,134
110,,,135
111,,,136
112,,,137
113,,,138
114,,,139
115,,,140
116,,,141
117,,,142
118,,,143
119,,,144
120,,,145
121,,,146
122,,,147
123,,,149
124,,,150
125,,,151
126,,,152
127,,,154
128,,,156
129,,,157
130,,,158
131,,,160
132,,,162
133,,,164
134,,,165
135,,,166
136,,,167
137,,,169
138,,,170
139,,,171
140,,,172
141,,,176
142,,,177
143,,,178
144,,,179
145,,,181
146,,,182
147,,,186
148,,,187
149,,,188
150,,,189
151,,,190
152,,,191
153,,,192
154,,,193
155,,,194
156,,,195
157,,,196
158,,,198
159,,,199
160,,,200
161,,,202
162,,,204
163,,,206
164,,,207
165,,,209
166,,,210
167,,,211
168,,,213
169,,,216
170,,,218
171,,,219
172,,,221
173,,,222
174,,,223
175,,,224
176,,,225
177,,,226
178,,,227
179,,,229
180,,,231
181,,,232
182,,,233
183,,,235
184,,,236
185,,,237
186,,,238
